PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,LA,,,,,,,,,
Location:,"LOS ANGELES, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,32,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,9.4,3.1,0,9.4,0.00,0
1,1,1,0,0,7.8,2.6,0,7.8,0.00,0
1,1,2,0,0,7.8,2.1,0,7.8,0.00,0
1,1,3,0,0,6.1,2.1,0,6.1,0.00,0
1,1,4,0,0,6.7,2.6,0,6.7,0.00,0
1,1,5,0,0,6.1,2.6,0,6.1,0.00,0
1,1,6,0,0,7.8,3.6,0,7.8,0.00,0
1,1,7,8,29,9.4,2.1,31.033,8.171,28.37,22.282
1,1,8,217,98,10,2.1,216.294,14.005,189.35,179.772
1,1,9,193,200,12.2,2.1,346.413,20.341,301.96,289.406
1,1,10,340,234,15,2.1,522.53,28.149,440.75,423.946
1,1,11,372,277,17.2,3.1,617.553,31.438,513.73,494.425
1,1,12,553,201,17.2,3.1,682.394,33.149,562.41,541.342
1,1,13,522,171,18.3,3.1,589.502,32.258,486.50,468.149
1,1,14,400,150,18.9,0,426.684,37.653,340.01,326.355
1,1,15,193,98,18.3,3.1,202.405,22.611,170.27,161.146
1,1,16,17,29,15.6,3.1,35.705,15.301,31.21,25.066
1,1,17,0,0,13.9,4.1,0,13.9,0.00,0
1,1,18,0,0,13.3,4.1,0,13.3,0.00,0
